,index_content,word,nature,content_type,index_word
604,19,不错,a,pos,1
606,19,安装,v,pos,2
607,19,人员,n,pos,3
610,19,专业,n,pos,4
612,19,值得,v,pos,5
613,19,信赖,n,pos,6
616,20,家里,s,pos,1
620,20,挺好用,a,pos,2
624,20,在家,r,pos,3
626,20,安装,v,pos,4
628,20,很好,a,pos,5
630,21,装,v,pos,1
632,21,太阳能,n,pos,2
634,21,坏掉,v,pos,3
638,21,换,v,pos,4
644,22,真心,d,pos,1
645,22,感觉,n,pos,2
646,22,不错,a,pos,3
648,22,装,v,pos,4
650,22,当晚,t,pos,5
651,22,三个,m,pos,6
653,22,冲凉,a,pos,7
655,22,热水,n,pos,8
656,22,没用,v,pos,9
659,22,好评,v,pos,10
660,23,真心,d,pos,1
661,23,不错,a,pos,2
664,23,喜欢,v,pos,3
667,23,品牌,n,pos,4
672,23,赞,v,pos,5
677,24,安装,v,pos,1
681,24,希望,v,pos,2
682,24,没什么,l,pos,3
687,25,完美,a,pos,1
690,25,不用,v,pos,2
691,25,天天,t,pos,3
693,25,太阳,ns,pos,4
696,26,售后,n,pos,1
699,26,预约,v,pos,2
700,26,安装,v,pos,3
705,27,质量,n,pos,1
706,27,不错,a,pos,2
708,27,暖水,n,pos,3
709,27,挺快,v,pos,4
712,27,支持,v,pos,5
713,28,不错,a,pos,1
715,28,物超所值,i,pos,2
716,29,凌晨,t,pos,1
717,29,一点,m,pos,2
718,29,下单,n,pos,3
720,29,点,m,pos,4
722,29,送到,v,pos,5
724,29,点,m,pos,6
725,29,员工,n,pos,7
726,29,上门,ns,pos,8
727,29,安装,v,pos,9
729,29,速度,n,pos,10
730,29,效率,n,pos,11
731,29,扛,v,pos,12
732,29,扛,v,pos,13
735,29,特别,d,pos,14
737,29,赞扬,v,pos,15
738,29,安装,v,pos,16
739,29,师傅,nr,pos,17
741,29,特别,d,pos,18
742,29,专业,n,pos,19
745,29,进门,v,pos,20
747,29,换上,v,pos,21
750,29,鞋套,n,pos,22
752,29,安装,v,pos,23
753,29,过程,n,pos,24
755,29,弄脏,n,pos,25
757,29,地方,n,pos,26
759,29,擦,v,pos,27
760,29,干净,a,pos,28
762,29,好评,v,pos,29
764,29,试用,vn,pos,30
768,29,量,n,pos,31
770,29,两三个,m,pos,32
771,29,人用,n,pos,33
773,29,合适,a,pos,34
775,30,东西,ns,pos,1
776,30,不错,a,pos,2
778,30,价格,n,pos,3
780,30,实惠,vn,pos,4
782,30,试,v,pos,5
786,30,加热,v,pos,6
787,30,很快,d,pos,7
790,30,省,n,pos,8
791,30,电,n,pos,9
793,30,老爸,n,pos,10
796,30,很大,a,pos,11
797,30,气,n,pos,12
799,30,遥控,vn,pos,13
801,30,灵敏,nr,pos,14
804,30,客服,n,pos,15
806,30,负责,v,pos,16
808,30,安装,v,pos,17
810,30,花,v,pos,18
815,30,规范,n,pos,19
817,30,强烈推荐,i,pos,20
824,31,十四号,m,pos,1
825,31,送到,v,pos,2
830,31,电话,n,pos,3
833,31,师傅,nr,pos,4
836,31,安装,v,pos,5
839,31,师傅,nr,pos,6
840,31,态度,n,pos,7
841,31,不错,a,pos,8
843,31,干活,a,pos,9
844,31,细致,a,pos,10
846,31,拆,v,pos,11
852,31,几年,m,pos,12
853,31,没擦,v,pos,13
855,31,墙面,n,pos,14
858,31,擦,v,pos,15
859,31,干净,a,pos,16
862,31,赞,v,pos,17
865,31,收费,n,pos,18
871,31,块钱,n,pos,19
874,31,装,v,pos,20
878,31,没用,v,pos,21
881,31,海尔,nrt,pos,22
885,31,四年,m,pos,23
888,31,漏水,n,pos,24
891,31,售后,n,pos,25
895,31,内胆,n,pos,26
896,31,漏,v,pos,27
899,31,修,v,pos,28
902,31,新,a,pos,29
906,31,保修,v,pos,30
907,31,八年,t,pos,31
909,31,总体,n,pos,32
910,31,不错,a,pos,33
913,31,好评,v,pos,34
919,32,满意,v,pos,1
921,32,售后,n,pos,2
923,32,认真负责,n,pos,3
926,32,货物,n,pos,4
927,32,到达,v,pos,5
928,32,目的地,n,pos,6
931,32,咨询,vn,pos,7
932,32,安装,v,pos,8
933,32,事宜,n,pos,9
935,32,指导,n,pos,10
936,32,安装,v,pos,11
937,32,人员,n,pos,12
938,32,到场,d,pos,13
944,32,厂家,n,pos,14
946,32,感觉,n,pos,15
948,32,不愧,a,pos,16
949,32,销量,n,pos,17
951,32,高,a,pos,18
953,32,安装,v,pos,19
954,32,人员,n,pos,20
955,32,讲解,v,pos,21
956,32,细致,a,pos,22
958,32,从头到尾,i,pos,23
959,32,满分,d,pos,24
960,32,好评,v,pos,25
962,33,质量,n,pos,1
967,33,卖家,n,pos,2
968,33,描述,v,pos,3
970,33,完全一致,i,pos,4
973,33,满意,v,pos,5
975,33,真的,d,pos,6
977,33,喜欢,v,pos,7
980,33,超出,v,pos,8
981,33,期望值,n,pos,9
984,33,发货,n,pos,10
985,33,速度,n,pos,11
990,33,包装,v,pos,12
992,33,仔细,ad,pos,13
994,33,严实,ad,pos,14
997,33,物流,n,pos,15
998,33,公司,n,pos,16
1000,33,服务态度,n,pos,17
1004,33,运送,v,pos,18
1005,33,速度,n,pos,19
1006,33,很快,d,pos,20
1009,33,满意,v,pos,21
1013,33,购物,n,pos,22
1014,34,速度,n,pos,1
1017,34,服务,vn,pos,2
1020,34,安装,v,pos,3
1021,34,师傅,nr,pos,4
1026,34,悲,vg,pos,5
1027,34,催,v,pos,6
1030,34,号到,v,pos,7
1034,34,号,m,pos,8
1036,34,便宜,a,pos,9
1040,34,安装,v,pos,10
1041,34,材料费,n,pos,11
1042,34,花,v,pos,12
1046,35,收到,v,pos,1
1051,35,安装,v,pos,2
1054,35,挺好用,a,pos,3
1057,35,质量,n,pos,4
1058,35,不错,a,pos,5
1060,35,安装工人,l,pos,6
1061,35,服务态度,n,pos,7
1065,35,教给,vn,pos,8
1070,35,快递,v,pos,9
1071,35,挺快,v,pos,10
1075,35,满意,v,pos,11
1079,36,一段时间,l,pos,1
1082,36,总体,n,pos,2
1083,36,感觉,n,pos,3
1084,36,不错,a,pos,4
1086,36,保温,n,pos,5
1087,36,性能,n,pos,6
1095,36,遥控器,n,pos,7
1097,36,功能,n,pos,8
1099,36,小孩子,n,pos,9
1105,36,值得,v,pos,10
1106,36,推荐,v,pos,11
1108,37,非常感谢,i,pos,1
1109,37,商城,ns,pos,2
1110,37,给予,v,pos,3
1112,37,优质,n,pos,4
1114,37,服务,vn,pos,5
1117,37,仓储,j,pos,6
1118,37,管理,vn,pos,7
1120,37,物流配送,n,pos,8
1126,37,做,v,pos,9
1132,37,送货,v,pos,10
1135,37,配送,v,pos,11
1136,37,员,q,pos,12
1140,37,热情,n,pos,13
1142,37,有时候,l,pos,14
1145,37,收件,n,pos,15
1150,37,安排,v,pos,16
1151,37,时间,n,pos,17
1153,37,配送,v,pos,18
1156,37,商城,ns,pos,19
1158,37,售后,n,pos,20
1159,37,管理,vn,pos,21
1167,37,解,v,pos,22
1168,37,客户,n,pos,23
1169,37,忧患,n,pos,24
1171,37,排除万难,i,pos,25
1173,37,给予,v,pos,26
1178,37,购物,n,pos,27
1179,37,体验,n,pos,28
1252,38,国庆,t,pos,1
1253,38,活动,vn,pos,2
1259,38,农村,n,pos,3
1261,38,送货上门,l,pos,4
1263,38,送到,v,pos,5
1265,38,装上,v,pos,6
1268,38,试用,vn,pos,7
1271,38,很好,d,pos,8
1274,38,烧水,n,pos,9
1276,38,水量,n,pos,10
1277,38,足,a,pos,11
1278,38,压力,n,pos,12
1281,38,使用方便,l,pos,13
1284,38,遥控器,n,pos,14
1285,38,操作,v,pos,15
1289,39,速度,n,pos,1
1293,39,第一次,m,pos,2
1295,39,订单,n,pos,3
1298,39,点,q,pos,4
1300,39,事故,n,pos,5
1302,39,地址,n,pos,6
1303,39,选错,v,pos,7
1304,39,区域,n,pos,8
1307,39,幸好,a,pos,9
1308,39,客服,n,pos,10
1309,39,帮忙,v,pos,11
1313,39,活动,vn,pos,12
1314,39,价格比,n,pos,13
1315,39,平时,t,pos,14
1316,39,优惠,vn,pos,15
1319,39,安装,v,pos,16
1327,39,热水,n,pos,17
1329,39,很快,d,pos,18
1331,39,功耗,n,pos,19
1335,39,牌子,n,pos,20
1341,39,安装,v,pos,21
1342,39,师傅,nr,pos,22
1345,39,安装,v,pos,23
1346,39,材料,n,pos,24
1348,39,报表,n,pos,25
1352,39,报表,n,pos,26
1353,39,打勾,nz,pos,27
1356,39,完美,a,pos,28
1360,40,每次,r,pos,1
1362,40,喜欢,v,pos,2
1366,40,东西,ns,pos,3
1369,40,几天,m,pos,4
1372,40,几天,m,pos,5
1375,40,特别,d,pos,6
1376,40,放心,v,pos,7
1383,40,品牌,n,pos,8
1385,40,简单,a,pos,9
1386,40,漂亮,a,pos,10
1389,40,喜欢,v,pos,11
1390,40,侧面,f,pos,12
1394,40,安装,v,pos,13
1396,40,主动,b,pos,14
1397,40,打电话,l,pos,15
1398,40,问,v,pos,16
1401,40,价格,n,pos,17
1403,40,明,a,pos,18
1406,40,我家,r,pos,19
1409,40,旧,a,pos,20
1411,40,拆下来,v,pos,21
1412,40,换,v,pos,22
1414,40,新,a,pos,23
1417,40,安装,v,pos,24
1418,40,师傅,nr,pos,25
1419,40,很快,d,pos,26
1421,40,弄,v,pos,27
1425,40,态度,n,pos,28
1427,40,手脚,n,pos,29
1428,40,麻利,nr,pos,30
1430,40,花,v,pos,31
1433,40,块钱,n,pos,32
1435,40,拆,v,pos,33
1436,40,旧机,n,pos,34
1440,40,管子,n,pos,35
1442,40,钱,n,pos,36
1449,40,仔细,ad,pos,37
1450,40,算,v,pos,38
1452,40,反正,d,pos,39
1454,40,效果,n,pos,40
1457,40,无所谓,l,pos,41
1462,40,旧,a,pos,42
1466,40,年,m,pos,43
1471,40,没坏,v,pos,44
1475,40,品牌,n,pos,45
1478,40,没了,v,pos,46
1480,40,希望,v,pos,47
1484,40,经久耐用,l,pos,48
1489,41,满意,v,pos,1
1491,41,送货,v,pos,2
1492,41,师傅,nr,pos,3
1497,41,搬到,v,pos,4
1498,41,楼,n,pos,5
1500,41,安装,v,pos,6
1501,41,师傅,nr,pos,7
1503,41,不错,a,pos,8
1505,42,昨天,t,pos,1
1507,42,装,v,pos,2
1510,42,第一次,m,pos,3
1513,42,烧水,n,pos,4
1514,42,很快,d,pos,5
1516,42,性价比,n,pos,6
1517,42,超高,v,pos,7
1522,43,高端,n,pos,1
1523,43,大气,n,pos,2
1524,43,上档次,b,pos,3
1539,44,下单,n,pos,1
1540,44,安装,v,pos,2
1543,44,正品,n,pos,3
1544,44,值得,v,pos,4
1545,44,推荐,v,pos,5
1546,45,期盼,v,pos,1
1547,45,之中,r,pos,2
1549,45,终于,d,pos,3
1552,45,心爱,n,pos,4
1554,45,东东,ns,pos,5
1556,45,谢谢,nr,pos,6
1558,46,产品,n,pos,1
1562,46,师傅,nr,pos,2
1563,46,安装,v,pos,3
1566,46,负责,v,pos,4
1571,47,还防,v,pos,1
1572,47,干烧,v,pos,2
1573,48,外观,n,pos,1
1574,48,时尚,n,pos,2
1575,48,简约,d,pos,3
1577,48,白色,n,pos,4
1578,48,显,v,pos,5
1579,48,大气,n,pos,6
1581,48,一键,n,pos,7
1582,48,快速,d,pos,8
1583,48,升温,v,pos,9
1585,48,省,n,pos,10
1586,48,时,ng,pos,11
1588,48,一键,n,pos,12
1589,48,中温,n,pos,13
1590,48,保温,n,pos,14
1592,48,省力,n,pos,15
1594,48,远红外,l,pos,16
1595,48,遥控,vn,pos,17
1596,48,控制,v,pos,18
1598,48,便捷,a,pos,19
1600,48,液晶,n,pos,20
1601,48,大屏,n,pos,21
1603,48,一目了然,i,pos,22
1605,48,安装,v,pos,23
1606,48,师傅,nr,pos,24
1607,48,细心,n,pos,25
1608,48,周到,v,pos,26
1610,48,服务,vn,pos,27
1615,48,温暖,an,pos,28
1618,48,送,v,pos,29
1621,48,小花,n,pos,30
1622,48,洒,v,pos,31
1624,48,正好,a,pos,32
1625,48,我家,r,pos,33
1627,48,坏,a,pos,34
1632,48,无微不至,i,pos,35
1636,48,品牌,n,pos,36
1638,48,值得,v,pos,37
1639,48,信赖,n,pos,38
1641,49,线,n,pos,1
1643,49,拍下,v,pos,2
1644,49,产品,n,pos,3
1647,49,发货,n,pos,4
1648,49,速度,n,pos,5
1649,49,很快,d,pos,6
1651,49,预约,v,pos,7
1652,49,上门,ns,pos,8
1653,49,安装,v,pos,9
1655,49,安装,v,pos,10
1656,49,人员,n,pos,11
1657,49,业务,n,pos,12
1658,49,熟练,a,pos,13
1660,49,素质,n,pos,14
1662,49,高,a,pos,15
1667,49,牌子,n,pos,16
1668,49,值得,v,pos,17
1669,49,信赖,n,pos,18
1671,49,加热,v,pos,19
1674,49,升水,v,pos,20
1675,49,够,zg,pos,21
1678,49,两个,m,pos,22
1679,49,人用,n,pos,23
1682,49,愉快,a,pos,24
1684,49,购物,n,pos,25
1685,49,体验,n,pos,26
1687,49,性价比,n,pos,27
1688,49,极高,a,pos,28
1690,49,一款,m,pos,29
1692,50,产品,n,pos,1
1693,50,没得说,l,pos,2
1700,50,包括,v,pos,3
1701,50,洗衣机,n,pos,4
1704,50,安装,v,pos,5
1706,50,师傅,nr,pos,6
1709,50,装,v,pos,7
1710,50,逼,v,pos,8
1713,50,免费,vn,pos,9
1714,50,安装,v,pos,10
1721,50,材料,n,pos,11
1724,50,装完,v,pos,12
1728,50,自带,n,pos,13
1730,50,几个,m,pos,14
1731,50,接头,v,pos,15
1734,50,收,v,pos,16
1736,50,我块,r,pos,17
1738,50,材料费,n,pos,18
1740,50,变着法,l,pos,19
1742,50,收费,n,pos,20
1745,51,购物,n,pos,1
1747,51,快递,v,pos,2
1750,51,力,n,pos,3
1753,51,购物,n,pos,4
1754,51,快递,v,pos,5
1757,51,力,n,pos,6
1761,51,理解,v,pos,7
1764,51,送货,v,pos,8
1765,51,量,n,pos,9
1766,51,大师傅,nr,pos,10
1768,51,忙不过来,l,pos,11
1773,51,宝贝,nr,pos,12
1777,51,留心,v,pos,13
1784,51,客服,n,pos,14
1785,51,人员,n,pos,15
1788,51,告知,v,pos,16
1789,51,算,v,pos,17
1791,51,倒霉,a,pos,18
1797,51,安装,v,pos,19
1803,51,安装,v,pos,20
1804,51,师傅,nr,pos,21
1805,51,很好,d,pos,22
1809,51,顾客,nr,pos,23
1812,51,安装,v,pos,24
1813,51,好看,v,pos,25
1820,51,周到,v,pos,26
1824,51,关心,n,pos,27
1826,51,收费,n,pos,28
1828,51,两个,m,pos,29
1829,51,脚法,n,pos,30
1831,51,管子,n,pos,31
1832,51,收费,n,pos,32
1834,51,满意,v,pos,33
1837,51,购物,n,pos,34
1839,51,下次,t,pos,35
1842,51,用后感,n,pos,36
1848,52,品牌,n,pos,1
1850,52,值得,v,pos,2
1851,52,信赖,n,pos,3
1855,52,就用,v,pos,4
1859,52,新房子,n,pos,5
1860,52,装修,v,pos,6
1864,52,售后,n,pos,7
1866,52,特别,d,pos,8
1867,52,正规,a,pos,9
1869,52,安装,v,pos,10
1870,52,人员,n,pos,11
1871,52,进门,v,pos,12
1872,52,穿鞋,n,pos,13
1873,52,套,q,pos,14
1876,52,耐心,a,pos,15
1877,52,谅解,v,pos,16
1880,52,贴心,v,pos,17
1883,52,满意,v,pos,18
1886,52,购物,n,pos,19
1888,53,购买,v,pos,1
1889,53,自营,vn,pos,2
1890,53,商品,n,pos,3
1892,53,拥有,v,pos,4
1893,53,七天,t,pos,5
1895,53,理由,n,pos,6
1896,53,退换货,n,pos,7
1898,53,消费者,n,pos,8
1900,53,无忧,v,pos,9
1901,53,购买,v,pos,10
1906,53,送货,v,pos,11
1912,53,电,n,pos,12
1913,53,电子,n,pos,13
1915,53,百货,n,pos,14
1916,53,厂品,n,pos,15
1918,53,购买,v,pos,16
1920,53,信赖,n,pos,17
1921,53,自营,vn,pos,18
1923,54,家里,s,pos,1
1926,54,是用,v,pos,2
1931,54,好多年,m,pos,3
1933,54,换,v,pos,4
1937,54,不错,a,pos,5
1942,55,升,zg,pos,1
1943,55,预约,v,pos,2
1944,55,洗浴,v,pos,3
1946,55,无线,n,pos,4
1947,55,遥控,vn,pos,5
1955,55,不错,a,pos,6
1957,55,送货,v,pos,7
1960,55,安装,v,pos,8
1964,55,不错,a,pos,9
1966,55,家里人,nrt,pos,10
1967,55,满意,v,pos,11
1974,55,升,zg,pos,12
1975,55,预约,v,pos,13
1976,55,洗浴,v,pos,14
1978,55,无线,n,pos,15
1979,55,遥控,vn,pos,16
1986,55,不错,a,pos,17
1989,55,行,zg,pos,18
1992,55,价格,n,pos,19
1993,55,总,b,pos,20
1994,55,波动,vn,pos,21
1996,56,很好,a,pos,1
1999,56,包装,v,pos,2
2000,56,完整,a,pos,3
2002,56,外形,n,pos,4
2003,56,大气,n,pos,5
2004,56,简洁,a,pos,6
2007,56,卫生间,n,pos,7
2009,56,颜色,n,pos,8
2010,56,搭配,v,pos,9
2014,56,热水,n,pos,10
2015,56,速度,n,pos,11
2018,56,大容量,n,pos,12
2019,56,足够,v,pos,13
2020,56,一家,m,pos,14
2021,56,三口,m,pos,15
2025,56,真的,d,pos,16
2027,56,太号,n,pos,17
2028,56,太好了,l,pos,18
2031,56,欧,ns,pos,19
2033,56,天,q,pos,20
2037,56,不敢相信,i,pos,21
2041,56,日子,n,pos,22
2044,56,坐上,v,pos,23
2046,56,幸福,a,pos,24
2048,56,列车,n,pos,25
2050,56,奔,zg,pos,26
2052,56,幸福,a,pos,27
2054,56,海洋,ns,pos,28
2056,56,哈哈哈哈,o,pos,29
2057,56,哈哈哈,o,pos,30
2058,56,哈哈哈,o,pos,31
2062,57,师傅,nr,pos,1
2063,57,安装,v,pos,2
2066,57,服务态度,n,pos,3
2069,57,不错,a,pos,4
2072,57,品牌,n,pos,5
2077,57,送货上门,l,pos,6
2078,57,速度,n,pos,7
2079,57,很快,d,pos,8
2082,58,品牌,n,pos,1
2083,58,值得,v,pos,2
2084,58,信赖,n,pos,3
2088,58,第二回,m,pos,4
2089,58,购买,v,pos,5
2092,58,加热,v,pos,6
2093,58,速度,n,pos,7
2097,58,洗澡,v,pos,8
2098,58,不用,v,pos,9
2101,58,送货,v,pos,10
2104,58,安装,v,pos,11
2108,58,安装,v,pos,12
2109,58,师傅,nr,pos,13
2112,58,气,n,pos,14
2114,58,讲解,v,pos,15
2116,58,到位,v,pos,16
2119,58,师傅,nr,pos,17
2120,58,还给,v,pos,18
2121,58,收拾,v,pos,19
2122,58,卫生,an,pos,20
2126,58,真的,d,pos,21
2128,58,满意,v,pos,22
2130,58,不的,v,pos,23
2134,58,满分,d,pos,24
2138,59,购买,v,pos,1
2139,59,自营,vn,pos,2
2140,59,商品,n,pos,3
2142,59,拥有,v,pos,4
2143,59,天无,i,pos,5
2144,59,理由,n,pos,6
2145,59,退换货,n,pos,7
2147,59,消费者,n,pos,8
2149,59,无忧,v,pos,9
2150,59,购买,v,pos,10
2152,59,关键,n,pos,11
2155,59,入门,ns,pos,12
2156,59,门槛,n,pos,13
2157,59,质量,n,pos,14
2160,59,高,a,pos,15
2165,59,电子,n,pos,16
2167,59,百货,n,pos,17
2168,59,产品,n,pos,18
2171,59,购买,v,pos,19
2174,59,自营,vn,pos,20
2176,59,产品,n,pos,21
2179,59,信赖,n,pos,22
2180,59,自营,vn,pos,23
2181,60,确实,ad,pos,1
2182,60,不错,a,pos,2
2184,60,收到,v,pos,3
2186,60,安装,v,pos,4
2191,60,水温,n,pos,5
2193,60,不错,a,pos,6
2195,60,冬天,t,pos,7
2196,60,洗澡,v,pos,8
2197,60,不用,v,pos,9
2198,60,愁,v,pos,10
2201,61,不错,a,pos,1
2202,61,太棒了,nr,pos,2
2204,61,一级,m,pos,3
2205,61,变频,vn,pos,4
2206,61,出热,v,pos,5
2207,61,水量,n,pos,6
2209,61,价格,n,pos,7
2210,61,合适,a,pos,8
2213,62,牌子,n,pos,1
2217,62,买回来,l,pos,2
2220,62,值得,v,pos,3
2222,62,撇开,v,pos,4
2223,62,价格,n,pos,5
2226,62,牌子,n,pos,6
2227,62,摆在,v,pos,7
2229,62,就让,v,pos,8
2231,62,放心,v,pos,9
2234,62,收到,v,pos,10
2236,62,第一,m,pos,11
2237,62,感觉,n,pos,12
2242,62,升,v,pos,13
2244,62,容积,n,pos,14
2245,62,足够,v,pos,15
2246,62,三个,m,pos,16
2248,62,洗,v,pos,17
2250,62,试,v,pos,18
2255,62,不错,a,pos,19
2259,62,满意,v,pos,20
2262,62,购物,n,pos,21
2264,62,五星,nz,pos,22
2265,62,好评,v,pos,23
2266,63,收到,v,pos,1
2269,63,外观,n,pos,2
2270,63,颜值,n,pos,3
2272,63,高,a,pos,4
2274,63,简洁,a,pos,5
2275,63,大方,n,pos,6
2277,63,预约,v,pos,7
2278,63,安装,v,pos,8
2280,63,很快,d,pos,9
2282,63,到货,v,pos,10
2284,63,第二天,m,pos,11
2285,63,师傅,nr,pos,12
